Coin,quote_currency,cryptopair
RIF,USD,RIFUSD
TNSR,USD,TNSRUSD
AO,USD,AOUSD
STOOS,USD,STOOSUSD
C98,USD,C98USD
KUJI,USD,KUJIUSD
ACT,IUSD,ACTIUSD
QKC,USD,QKCUSD
CONX,CUSD,CONXCUSD
MNDE,USD,MNDEUSD
SOON,2USD,SOON2USD
DICE,KUSD,DICEKUSD
DIA,USD,DIAUSD
TORN,USD,TORNUSD
DMC,DAUSD,DMCDAUSD
COREUM,USD,COREUMUSD
EURCV,USD,EURCVUSD
SHX,USD,SHXUSD
AI,RUSD,AIRUSD
BGSC,USD,BGSCUSD
HP,HUSD,HPHUSD
METFI,USD,METFIUSD
RIZE,2USD,RIZE2USD
TRU,USD,TRUUSD
CBK,USD,CBKUSD
EWT,USD,EWTUSD
COQ,USD,COQUSD
SFUND,USD,SFUNDUSD
VELO,USD,VELOUSD
CTK,USD,CTKUSD
TON,USD,TONUSD
PYR,USD,PYRUSD
HFUN,HUSD,HFUNHUSD
CAR,RUSD,CARRUSD
APX,USD,APXUSD
ZEON,USD,ZEONUSD
RARE,USD,RAREUSD
QUAI,USD,QUAIUSD
TXC,USD,TXCUSD
QANX,USD,QANXUSD
WTAO,USD,WTAOUSD
RIO,USD,RIOUSD
DF,USD,DFUSD
ALPH,USD,ALPHUSD
HSK,USD,HSKUSD
SKYAI,2USD,SKYAI2USD
DOGINME,USD,DOGINMEUSD
PUFF,TUSD,PUFFTUSD
COLLAT,USD,COLLATUSD
CCD,USD,CCDUSD
XUSD,2USD,XUSD2USD
DEVVE,USD,DEVVEUSD
ANYONE,USD,ANYONEUSD
BFC,USD,BFCUSD
AVA,USD,AVAUSD
KEYCAT,USD,KEYCATUSD
UNP,USD,UNPUSD
LUSD,USD,LUSDUSD
MAGIC,USD,MAGICUSD
EURT,USD,EURTUSD
MBL,USD,MBLUSD
DNA,3USD,DNA3USD
LOCUS,USD,LOCUSUSD
WQUIL,USD,WQUILUSD
DOP,DAUSD,DOPDAUSD
ARC,USD,ARCUSD
LISTA,USD,LISTAUSD
BINK,USD,BINKUSD
UDS,USD,UDSUSD
DRIP,MUSD,DRIPMUSD
TRU,USD,TRUUSD
RSC,USD,RSCUSD
ELG,USD,ELGUSD
ALICE,USD,ALICEUSD
FORT,USD,FORTUSD
PEPECOIN,CUSD,PEPECOINCUSD
HIGH,USD,HIGHUSD
PROMPT,USD,PROMPTUSD
MOONPIG,USD,MOONPIGUSD
ORAI,USD,ORAIUSD
DESO,USD,DESOUSD
SERAPH,2USD,SERAPH2USD
MBX,USD,MBXUSD
MUBARAK,USD,MUBARAKUSD
WNXM,USD,WNXMUSD
TST,TUSD,TSTTUSD
NAKA,USD,NAKAUSD
LOFI,2USD,LOFI2USD
PRCL,USD,PRCLUSD
DEP,USD,DEPUSD
RSS3,USD,RSS3USD
MOB,USD,MOBUSD
A8,USD,A8USD
HOUSE,CUSD,HOUSECUSD
META,USD,METAUSD
WCFG,USD,WCFGUSD
OMG,USD,OMGUSD
AVA,USD,AVAUSD
STG,USD,STGUSD
SLERF,USD,SLERFUSD
MNSRY,USD,MNSRYUSD
NCT,USD,NCTUSD
AUKI,USD,AUKIUSD
BCN,USD,BCNUSD
BLUE,FUSD,BLUEFUSD
QRL,USD,QRLUSD
DENTX,USD,DENTXUSD
CUSD,USD,CUSDUSD
STRK,USD,STRKUSD
GME,GUSD,GMEGUSD
EAI,EUSD,EAIEUSD
TBC,TUSD,TBCTUSD
PNG,USD,PNGUSD
SUSD,USD,SUSDUSD
MOBILE,USD,MOBILEUSD
STRD,USD,STRDUSD
KNG,USD,KNGUSD
FORTH,USD,FORTHUSD
FUN,USD,FUNUSD
VINE,USD,VINEUSD
RAD,USD,RADUSD
MYRIA,USD,MYRIAUSD
ELA,USD,ELAUSD
SEND,2USD,SEND2USD
GRND,USD,GRNDUSD
EARN,NUSD,EARNNUSD
GPS,USD,GPSUSD
SYS,USD,SYSUSD
ACE,USD,ACEUSD
CORN,USD,CORNUSD
ARPA,USD,ARPAUSD
AMPL,USD,AMPLUSD
HFT,USD,HFTUSD
M87,USD,M87USD
GNS,USD,GNSUSD
GAME,BUSD,GAMEBUSD
NS,SUSD,NSSUSD
REZ,USD,REZUSD
TT,USD,TTUSD
THAPT,USD,THAPTUSD
SLND,USD,SLNDUSD
EBTC,EUSD,EBTCEUSD
NYM,USD,NYMUSD
DUSK,USD,DUSKUSD
VADER,AUSD,VADERAUSD
ZORA,2USD,ZORA2USD
LUMIA,USD,LUMIAUSD
PUFFER,USD,PUFFERUSD
MCDULL,USD,MCDULLUSD
SERV,OUSD,SERVOUSD
FOG,USD,FOGUSD
FARTBOY,USD,FARTBOYUSD
MAV,USD,MAVUSD
LADYS,USD,LADYSUSD
GOCHU,USD,GOCHUUSD
LBT,USD,LBTUSD
J,USD,JUSD
CLV,USD,CLVUSD
STMX,USD,STMXUSD
NOBODY,USD,NOBODYUSD
BAKE,USD,BAKEUSD
LYX,USD,LYXUSD
AVL,AUSD,AVLAUSD
ACA,USD,ACAUSD
EDG,EWUSD,EDGEWUSD
RACA,USD,RACAUSD
EDX,EUSD,EDXEUSD
HUNT,USD,HUNTUSD
GPU,USD,GPUUSD
NFP,RUSD,NFPRUSD
EURA,USD,EURAUSD
XTER,IUSD,XTERIUSD
XPLA,USD,XPLAUSD
MIGGLES,USD,MIGGLESUSD
SYN,USD,SYNUSD
USDA,USD,USDAUSD
GUN,USD,GUNUSD
EGC,EUSD,EGCEUSD
MC,USD,MCUSD
DODO,USD,DODOUSD
XT,USD,XTUSD
XP,HUSD,XPHUSD
ASM,USD,ASMUSD
NOS,USD,NOSUSD
ARRR,USD,ARRRUSD
GOG,USD,GOGUSD
ZEREBRO,USD,ZEREBROUSD
