Coin,Description,Rank,Market capitalization,Market capitalization - Currency,Social dominance %,Category
ZBCN,Zebec Network,123,460167041.87513334,USD,0.3329376533689016,"Payments, DeFi, DePIN, Made in America, Real-world assets"
RUNE,THORChain,124,457810476.9924,USD,0.20135904480624986,"Decentralized exchange, DeFi, Layer 1, Exchange tokens"
STRK,Starknet,125,446703843.6964411,USD,0.31826058744312635,"Privacy, Scaling, Web3"
RSR,Reserve Rights,126,443780635.0928832,USD,0.09012233463195325,"Cryptocurrencies, Made in America, Real-world assets"
SUPER,SuperVerse,127,429458624.163026,USD,0.2913526332458718,"Gaming, NFTs and collectibles, Made in America"
COMP,Compound,128,427326068.57730544,USD,0.06282814185770456,"Lending and borrowing, DeFi, DAO, Made in America"
CVX,Convex Finance,129,426296683.6238978,USD,0.28684651651427406,DeFi
KAVA,Kava,130,421663012.716,USD,0.043129974431006204,"Smart contract platforms, Web3, Layer 1, Made in America"
ETHFI,ether.fi,131,420448966.833,USD,0.06141193374205958,DeFi
APE,ApeCoin,132,421861174.15749997,USD,0.4333596833873638,"Memes, NFTs and collectibles"
AR,Arweave,133,421705484.8578,USD,0.1637651566454922,"Distributed computing and storage, Web3, Layer 1, DePIN"
DYDX,dYdX,134,415267850.6688559,USD,,"Decentralized exchange, Layer 1, Made in America, Exchange tokens"
NEO,Neo,135,414465009.3067,USD,0.12205139033013099,"Smart contract platforms, Enterprise solutions"
SUN,Sun (New),136,411805904.34365404,USD,0.0024461776542958743,"Payments, DeFi"
EGLD,MultiversX,137,410132602.03603214,USD,0.1347972633709358,"Smart contract platforms, Gaming, Distributed computing and storage, Identity, Scaling, Enterprise solutions, Payments, Loyalty and rewards, DeFi, Metaverse, Web3, Layer 1, DePIN"
XEC,eCash,138,404495922.93897915,USD,0.07621774586016618,"Cryptocurrencies, Layer 1"
AIOZ,AIOZ Network,139,403381956.3365417,USD,0.03733639577609492,"Distributed computing and storage, Data management and AI, Web3, Layer 1, DePIN"
AXS,Axie Infinity,140,377863375.93492717,USD,0.23238687715810805,"Gaming, NFTs and collectibles, Metaverse"
CHZ,Chiliz,141,377202714.27236694,USD,0.11136545636662797,"Loyalty and rewards, Sports, Layer 1"
ZK,zkSync,142,375489057.39006644,USD,0.2710107348575166,Privacy
WEMIX,WEMIX,143,358157919.17163014,USD,0.05960948704942052,"Gaming, Scaling, Marketplace, Layer 1"
1INCH,1inch Network,144,358243289.36463326,USD,0.014677065925775246,"Decentralized exchange, Payments, DeFi, Exchange tokens"
W,Wormhole,145,357738832.857338,USD,0.22182968938693637,"NFTs and collectibles, Interoperability, DeFi, Web3, DAO"
EIGEN,EigenLayer,146,356752392.53898776,USD,0.08767615697765739,Made in America
